timestamp_iso,cpu_energy_j,gpu_power_w,gpu_util_pct
2026-05-07T23:48:14.616905Z,103584.028708,25.169,0
2026-05-07T23:48:15.618416Z,103586.496658,25.261,0
2026-05-07T23:48:16.619948Z,103589.086068,25.372,0
2026-05-07T23:48:17.621468Z,103591.513674,25.263,0
2026-05-07T23:48:18.622978Z,103594.101497,24.994,0
2026-05-07T23:48:19.624523Z,103596.648121,25.33,0
2026-05-07T23:48:20.626046Z,103599.474347,25.044,0
2026-05-07T23:48:21.627475Z,103601.943396,25.348,0
2026-05-07T23:48:22.628993Z,103604.549713,25.058,0
2026-05-07T23:48:23.630528Z,103607.241112,25.334,0
2026-05-07T23:48:24.632041Z,103609.807939,25.227,3
2026-05-07T23:48:25.633567Z,103613.001534,25.185,3
2026-05-07T23:48:26.635103Z,103615.639345,25.325,3
2026-05-07T23:48:27.636787Z,103618.102473,25.612,3
2026-05-07T23:48:28.638310Z,103620.654469,25.214,3
2026-05-07T23:48:29.639463Z,103623.264997,25.622,3
2026-05-07T23:48:30.641072Z,103626.101293,25.456,3
2026-05-07T23:48:31.642538Z,103628.564483,25.382,7
2026-05-07T23:48:32.643391Z,103631.117027,25.481,6
2026-05-07T23:48:33.644888Z,103633.576616,25.42,6
2026-05-07T23:48:34.646391Z,103636.198557,25.584,6
2026-05-07T23:48:35.647465Z,103638.669071,25.3,6
2026-05-07T23:48:36.648979Z,103641.194272,25.413,6
2026-05-07T23:48:37.650497Z,103643.634634,25.405,6
2026-05-07T23:48:38.651478Z,103646.280929,25.309,6
2026-05-07T23:48:39.653017Z,103648.872658,25.286,6
2026-05-07T23:48:40.653850Z,103651.657502,25.369,5
2026-05-07T23:48:41.655404Z,103654.10232,25.131,6
2026-05-07T23:48:42.656918Z,103656.705341,25.124,5
2026-05-07T23:48:43.658456Z,103659.138013,25.208,5
2026-05-07T23:48:44.659958Z,103661.816534,25.213,5
2026-05-07T23:48:45.661481Z,103664.312316,24.988,5
2026-05-07T23:48:46.663007Z,103666.951713,25.368,4
2026-05-07T23:48:47.664555Z,103669.379808,25.011,4
2026-05-07T23:48:48.666065Z,103672.018351,25.086,3
2026-05-07T23:48:49.667611Z,103676.937284,25.612,3
2026-05-07T23:48:50.669156Z,103679.768819,25.194,3
2026-05-07T23:48:51.670715Z,103683.008374,25.365,3
2026-05-07T23:48:52.671470Z,103685.771428,25.038,3
2026-05-07T23:48:53.672936Z,103688.370482,24.987,3
2026-05-07T23:48:54.674452Z,103691.520193,24.815,3
2026-05-07T23:48:55.675988Z,103694.026351,25.153,3
2026-05-07T23:48:56.677511Z,103696.600807,25.058,3
2026-05-07T23:48:57.679039Z,103699.066927,24.814,3
2026-05-07T23:48:58.680579Z,103701.740809,24.754,3
2026-05-07T23:48:59.682127Z,103704.30904,24.746,3
2026-05-07T23:49:00.683465Z,103707.340526,24.836,3
2026-05-07T23:49:01.684997Z,103709.807805,24.943,3
2026-05-07T23:49:02.686527Z,103712.392881,25.569,3
2026-05-07T23:49:03.687464Z,103716.903673,25.224,2
